title,company,location,description,salary,url,date_posted
"Software Engineer, Growth",Notion,"San Francisco, CA","About UsWe're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.Notion is an in-person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).About The RoleNotion's Growth Engineers make our mission of software ubiquity a reality. Using experiments, creativity, and feature creation, this team accelerates the value of Notion to an ever growing audience of users. We are owners of the ins and outs of our business, using a blend of data, qualitative research, and product intuition to accelerate our impact at this critical time in our company’s journey.What You'll AchieveDeliver experiments end-to-end, from ideation to analysis, with velocity and quality to move core business metricsGet to know the Notion customer to understand key points in the customer journey and uncover insights that will drive activation and engagementPlan, shape, and build new features to create a more engaging and personalized early product experience for our customersSkills You'll Need To BringShipping polished user interfaces: You can work with others to build and maintain quality user interfaces for a big audience. You have experience and are comfortable using Web technologies like HTML, CSS, JavaScript, and a modern UI framework like React. If you've experienced the technical challenges of rapid growth, that's a plus.Data and experimentation: You have Growth Engineering experience at another company. You are comfortable iteratively testing product flows using A/B testing to understand customer behavior and make data-informed decisions.Thoughtful problem-solving: For you, problem-solving starts with a clear and accurate understanding of the context. You can decompose tricky problems and work towards a clean solution, by yourself or with teammates. You're comfortable asking for help when you get stuck.Pragmatism and impact-orientation: You care about business impact and prioritize projects accordingly. You're not just going after cool stuff—you understand the balance between craft, speed, and the bottom line.Putting users first: You think critically about the implications of what you're building, and how it shapes real people's lives. You understand that reach comes with responsibility for our impact—good and bad.Empathetic communication: You communicate nuanced ideas clearly, whether you're explaining technical decisions in writing or brainstorming in real time. In disagreements, you engage thoughtfully with other perspectives and compromise when needed.Team player: For you, work isn't a solo endeavor. You enjoy collaborating cross-functionally to accomplish shared goals, and you care about learning, growing, and helping others to do the same.Nice To HavesA history of strong cross-functional collaboration with marketing, sales, and/or other non-technical teamsYou've heard of computing pioneers like Ada Lovelace, Douglas Engelbart, Alan Kay, and others—and understand why we're big fans of their work.We hire talented and passionate people from a variety of backgrounds because we want our global employee base to represent the wide diversity of our customers. If you’re excited about a role but your past experience doesn’t align perfectly with every bullet point listed in the job description, we still encourage you to apply. If you’re a builder at heart, share our company values, and enthusiastic about making software toolmaking ubiquitous, we want to hear from you.Notion is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Notion considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Notion is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation made due to a disability, please let your recruiter know.Notion is committed to providing highly competitive cash compensation, equity, and benefits. The compensation offered for this role will be based on multiple factors such as location, the role’s scope and complexity, and the candidate’s experience and expertise, and may vary from the range provided below. For roles based in San Francisco, the estimated base salary range for this role is $130,000 - $238,000 per year.",Salary not specified,https://www.linkedin.com/jobs/view/software-engineer-growth-at-notion-4143892275?position=1&pageNum=0&refId=Zqa7FPKOOotB%2BO%2F%2F60BVAQ%3D%3D&trackingId=QBLRsy8Y3LXy5zB2lAB%2BiQ%3D%3D,2025-05-24
Software Engineer - Recent Grad,Kikoff,"San Francisco, CA","Calling all new grad and junior software engineers who are looking for fast personal and career growth in consumer fintech. Skip the bureaucracy of a big company and work with a seasoned startup product and engineering team. We balance best practices from our experience in post-IPO companies with the familiar intuition that comes from pre-IPO zero-to-one work. Our mission is to create fair, effective, and simple financial pathways to help 100M Americans reach their financial goals. Investors include Lightspeed, Coatue and GGV. Founders are serial entrepreneurs who co-founded and served as C-suite executives at 3 FinTech unicorns.Our backend is written in Ruby on Rails on AWS, using lots of vanilla infrastructure. Our frontend and mobile apps are written in ReactJS on Vercel and Flutter. Strong internships and general open-source experience are necessary, but familiarity with our particular stack is preferred.Kikoff: A FinTech Unicorn Powering Financial Progress with AIAt Kikoff, our mission is to provide radically affordable financial tools to help consumers achieve financial security. We're a profitable, high growth FinTech unicorn serving millions of people, many of whom are building credit or navigating life paycheck to paycheck. With innovative technology and AI, we simplify credit building, reduce debt, and expand access to financial opportunities to those who need them the most. Founded in 2019, Kikoff is headquartered in San Francisco and backed by top-tier VC investors and NBA star Stephen Curry.Why KikoffThis is a consumer fintech startup, and you will be working with serial entrepreneurs who have built strong consumer brands and innovative products. We value extreme ownership, clear communication, a strong sense of craftsmanship, and the desire to create lasting work and work relationships. Yes, you can build an exciting business AND have real-life real-customer impact.🏥 Medical, dental, and vision coverage - Kikoff covers the full cost of health insurance for the employee!📈 Stock Options🏝 Flexible vacation policy to help you recharge💰 US salary range for this full-time position consists of base + equity + benefits",Salary not specified,https://www.linkedin.com/jobs/view/software-engineer-recent-grad-at-kikoff-4060965617?position=2&pageNum=0&refId=Zqa7FPKOOotB%2BO%2F%2F60BVAQ%3D%3D&trackingId=YmgqvZiAGfJJ3fccvdWssg%3D%3D,2025-05-15
Software Engineer - Backend,Julius AI,"San Francisco, CA","Julius is growing quickly and reaching millions of knowledge workers. We are looking for a backend engineer to join our small and deeply technical team to help revolutionize AI powered code execution and data analysis.You will be responsible for leading design, implementation, and scaling of systemsthat power web and mobile products.What you’ll do:Build products that bring AI capabilities to millions of knowledge workersBuild and scale backend systems that power the core Julius product.Building interfaces between backend and web/mobile clients.Work on scaling and load balancing web server backends with rapidly changing needs.What we’re looking for:Strong experience with Python or equivalent backend programming languageStrong experience with databases / pooling / concurrency.Experience with cloud platforms (AWS, GCP or Azure).Familiarity with infrastructure, kubernetes and terraform (or willingness to learn).Extensible system design skills.2+ years of engineering experience.Bonus points: Experience or familiarity with R (the programming language)Bonus points: You’ve built an AI side project before and like prompting and playing with LLMsAbout JuliusLocation: San Francisco, CA 🌁Type: Full TimeCompensation: Competitive base salary and meaningful equityBenefits: Health & dental insurance, gym reimbursement, daily team lunchesWe are an early stage applied AI lab building coding agents. We’re on a mission to enable one billion humans to become software creators, and we are starting with a focus on data science and analysis use cases. Our users and customers are knowledge workers in roles like finance, operations, scientific research and academia.Today, Julius writes and executes 1 million lines of code every 36 hours, has served over 1 million users and generated over 3 million data visualizations.We're a small technical team with experience from Uber, Microsoft and Facebook.We're making revenue and we're backed by some of best investors like AI Grant, and founders of Vercel, Notion, Perplexity, Palantir, Replit, Zapier, Intercom, Dropbox and researchers from OpenAI and Google DeepMind.",Salary not specified,https://www.linkedin.com/jobs/view/software-engineer-backend-at-julius-ai-4213925030?position=3&pageNum=0&refId=Zqa7FPKOOotB%2BO%2F%2F60BVAQ%3D%3D&trackingId=fsy0uXTdn1rwUuo1%2F3r48g%3D%3D,2025-04-24
********/** ******** (*** ****),*********,"*** *********, **","FurtherAIAI Workforce for the Insurance IndustrySoftware/AI Engineer (New Grad)$120K - $180K/ 0.10% - 0.25%LocationSan Francisco, CA, USJob TypeFull-timeExperienceAny (new grads ok)VisaWill sponsorConnect directly with founders of the best YC-funded startups.Apply to role ›Sashank GondalaCTO/Co-founderAbout The RoleWe're looking for exceptional new graduates to join our engineering team. This is not your typical new grad role - we’re hiring cracked engineers eager to shape the future of agentic AI systemsWhat you'll doBuild enterprise-grade AI agents from the ground up⁠Work closely with our CTO, Sashank, who brings experience from building speech and language models at Apple’s AI/ML org⁠Contribute to core architecture decisions that will shape our productImplement cutting-edge AI capabilities in productionCollaborate with a small, elite team of engineers from Google X, Microsoft, Apple, Meta, …Why This RoleYou’ll be at the forefront of AI agent system design, working alongside experienced engineers and contributing meaningfully from day one. This is a rare opportunity to get deep technical mentorship while building truly frontier tech.Who You AreRecent graduate with a CS/related degree (or equivalent experience)Strong foundation in software engineering principlesPassionate about AI, ML, and building intelligent systemsSelf-directed problem solver who thrives in ambiguityExperience with Python, modern web frameworks, and cloud infrastructureBonus: Prior work with LLMs, ML frameworks, or agent architecturesOur CultureWe’re a small, driven team that values technical rigor, intellectual curiosity, and speed. Our engineers come from top-tier teams like Google X and Apple. We care deeply about ownership and pushing boundaries together.LocationSan Francisco, CA (Remote options available for exceptional candidates)CompensationCompetitive salary, meaningful equity, comprehensive benefitsFurtherAI is an equal opportunity employer and values diversity at our company.About FurtherAIAt FurtherAI, we are building a workforce of AI Teammates to automate insurance workflows. These AI Teammates can practically automate any insurance workflow involving processing unstructured documents, data entry into internal systems or web portals, or even making phone calls.Our core mission is to answer a critical question: Can AI be made as reliable, adaptive, and continuously learning as a new human employee?We have successfully raised a pre-seed round from top-tier investors, including Y Combinator, South Park Commons, and Converge VC. Our founding team features a second time founder and a language modeling scientist from Apple, who have known each other for over 12 years.",Salary not specified,https://www.linkedin.com/jobs/view/software-ai-engineer-new-grad-at-furtherai-4227981415?position=4&pageNum=0&refId=Zqa7FPKOOotB%2BO%2F%2F60BVAQ%3D%3D&trackingId=ZkX2%2BgMfvdlK8RkKokqqtQ%3D%3D,2025-05-15
******** ******** - ********,****,"*** *********, **","About Ever:Ever is a fast-moving, venture-backed marketplace and technology business, building the next industry-defining company in the electric mobility and household electrification space. Our mission is to help consumers and businesses toward a clean energy future.We are starting by building the best possible experience for buying and selling electric vehicles. Our retail and marketplace platform (evercars.com) was launched in late 2023, and our early momentum has been very strong.As a small but strong early-stage team, we are looking to onboard world-class engineers, product designers, and operators to key roles in our core team. You'll work closely with the founders and the rest of our team, taking strong ownership of key initiatives and building the leading marketplace and operations products that help us fulfill our mission.What You'll Do:You'll work alongside the CTO and engineering team to build a generational EV platform to serve consumers on their journey from EV's to broader electrification initiatives.Work directly with the founders, users, and customers to create positive product feedback loops and define engineering roadmaps.Build exceptional user experiences for our fast growing EV marketplaceLead, grow, and build our team with an engineering first culture.Qualifications & Fit:3+ years of relevant software engineering experience in a fast paced environmentPassion for EVs, climate, & unsolved challenges in the shift towards electric mobilityTechnical skills:3+ years of experience delivering, scaling, and owning highly successful and innovative productsFamiliarity with technologies on our frontend: (React, Typescript, Tailwind CSS, React-Query)Experience working on asset-heavy frontend applications and applying best practices for SSR & SEOBenefits:Competitive salary and equityUnlimited PTOHealth, dental, and visionEver is an equal opportunity employer. We encourage applicants from all backgrounds and experiences to apply.",Salary not specified,https://www.linkedin.com/jobs/view/software-engineer-frontend-at-ever-3958003857?position=5&pageNum=0&refId=Zqa7FPKOOotB%2BO%2F%2F60BVAQ%3D%3D&trackingId=G3RrSLmSevE9xRzKEsH3kg%3D%3D,2024-06-24
******** ******** - *******,****,"*** *********, **","About Ever:Ever is a fast-moving, venture-backed marketplace and technology business, building the next industry-defining company in the electric mobility and household electrification space. Our mission is to help consumers and businesses toward a clean energy future.We are starting by building the best possible experience for buying and selling electric vehicles. Our retail and marketplace platform (evercars.com) was launched in late 2023, and our early momentum has been very strong.As a small but strong early-stage team, we are looking to onboard world-class engineers, product designers, and operators to key roles in our core team. You'll work closely with the founders and the rest of our team, taking strong ownership of key initiatives and building the leading marketplace and operations products that help us fulfill our mission.What You'll Do:You'll work alongside the CTO and engineering team to build a generational EV platform to serve consumers on their journey from EV's to broader electrification initiatives.Work directly with the founders, users, and customers to create positive product feedback loops and define engineering roadmaps.Design and develop scalable architecture patternsLead, grow, and build our team with an engineering first culture.Qualifications & Fit:3+ years of relevant software engineering experience in a fast paced environmentPassion for EVs, climate, & unsolved challenges in the shift towards electric mobilityExperience leading technically challenging projects and working with stakeholders across multiple domainsTechnical skills:3+ years of experience delivering, scaling, and owning highly successful and innovative productsFamiliarity with technologies in our backend stack: (Go, Node, MySQL, DynamoDB)Experience with real-world system design challenges, large scale applications, and data pipelinesBenefits:Competitive salary and equityUnlimited PTOHealth, dental, and visionEver is an equal opportunity employer. We encourage applicants from all backgrounds and experiences to apply.",Salary not specified,https://www.linkedin.com/jobs/view/software-engineer-backend-at-ever-4068296788?position=6&pageNum=0&refId=Zqa7FPKOOotB%2BO%2F%2F60BVAQ%3D%3D&trackingId=ECRl1C4oO%2BssD%2FxXc7rG5A%3D%3D,2024-11-04
******** ******** *,****** *************,"*** *********, **","Disney Entertainment & ESPN Product & TechnologyTechnology is at the heart of Disney’s past, present, and future. Disney Entertainment and ESPN Product & Technology is a global organization of engineers, product developers, designers, technologists, data scientists, and more – all working to build and advance the technological backbone for Disney’s media business globally.The team marries technology with creativity to build world-class products, enhance storytelling, and drive velocity, innovation, and scalability for our businesses. We are Storytellers and Innovators. Creators and Builders. Entertainers and Engineers. We work with every part of The Walt Disney Company’s media portfolio to advance the technological foundation and consumer media touch points serving millions of people around the world.Here are a few reasons why we think you’d love working here:Building the future of Disney’s media:Our Technologists are designing and building the products and platforms that will power our media, advertising, and distribution businesses for years to come.Reach, Scale & Impact:More than ever, Disney’s technology and products serve as a signature doorway for fans' connections with the company’s brands and stories. Disney+. Hulu. ESPN. ABC. ABC News…and many more. These products and brands – and the unmatched stories, storytellers, and events they carry – matter to millions of people globally.Innovation:We develop and implement groundbreaking products and techniques that shape industry norms and solve complex and distinctive technical problems.Product Engineering is a unified team responsible for the engineering of Disney Entertainment & ESPN digital and streaming products and platforms. This includes product engineering, media engineering, quality assurance, engineering behind personalization, commerce, lifecycle, and identity.Job SummaryAs part of the Living Room Devices, Roku Client Application Engineering Team, you will help us push the boundaries of what is possible on some of the most interesting 10-foot devices in the marketplace! You’ll be part of the team that builds our Disney+ Direct-to-Consumer client app for streaming Disney, Pixar, Marvel, Star Wars, Hulu, ESPN, NatGeo, and ABC News content from one of the most popular streaming devices on the market.We’re seeking a Software Engineer I for the Roku Client Application Engineering Team, where you’ll be part of the team that builds our Disney+ Direct-to-Consumer client app on Roku streaming devices and smart TVs. We’re looking for an engineer who has educational experience, work experience, or personal project time developing software, and is ready to help develop client apps that provide the best experiences for our viewers. Ideal technology stacks would include front-end technologies, such as Roku BrightScript & SceneGraph, React, Angular, or similar technologies.Responsibilities And Duties Of The RoleBe a member of a team of engineers responsible for building our client app experiences in BrightScript, using the Roku SceneGraph SDKContribute to the development of new application features from on-boarding to browse UI/UX experiences, analytics, video playback UI/UX and much more. If you see it on screen, you’ll likely have a chance to work on it in codeHave the opportunity to contribute to the development of tools and systems outside of the Roku apps, such as JavaScript- & React-based web tools, gulp build scripts, AWS configurations, and Node.js servicesWork with Roku to vet new hardware, firmware and certification requirements from a client application perspectiveCollaborate closely with our client SDK engineering, design engineering, services engineering teams and product owners to help understand and communicate requirements and device limitationsBasic QualificationsExperience working on user interface-level code and knowledge of common patterns and architectures (MVVM, MVC, React, etc.), and approaches to present a data-driven UX to viewersFamiliarity with development and troubleshooting, preferably on set-top boxes or Smart TVsUnder the guidance of more senior engineers, candidates will be expected to become proficient in the use of reusable utilities and UI components, and generalized logic that can be consumed by multiple applicationsPreferred QualificationsExperience creating beautiful, rich, performant user interfaces, including implementing pixel-perfect designs and animationsExperience working on a range of devices with varying performance and capabilitiesExperience with configuration-driven developmentExperience with performance optimization and feature degradation techniquesExperience creating and extending templated controls, and writing custom controlsExperience with asynchronous and concurrent codeExperience with unit testing and related patternsExperience with JavaScript client- and server-side developmentExperience with DevOps, gulp scripts, Jenkins and AWSRequired EducationBachelor’s degree in Computer Science, Information Systems, Software, Electrical or Electronics Engineering, or comparable field of study, and/or equivalent work experienceThe hiring range for this position in Seattle, WA & NYC is $99,900.00 to $133,900.00 and in Glendale/Santa Monica, CA is $95,300-$127,800 and in San Francisco, CA is $104,400.00 to $140,000.00. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered.",Salary not specified,https://www.linkedin.com/jobs/view/software-engineer-i-at-disney-entertainment-4243842083?position=7&pageNum=0&refId=Zqa7FPKOOotB%2BO%2F%2F60BVAQ%3D%3D&trackingId=81ieGnKpvSrP2UmOclZlNA%3D%3D,No date
********* ********,*****,"*** *********, **","About SprigSprig is empowering the fastest-growing and largest companies to build digital products for people, not just data points. Our platform enables product teams to ask any question about their product, observe user interactions, and receive actionable product recommendations to drive success. Today, we’re proud to partner with industry leaders like Notion, Figma, Ramp, Robinhood, Coinbase, and TripAdvisor, helping them build world-class products.As we continue our journey towards $100M in revenue and beyond, Sprig’s vision is to shape the future of autonomous product development, where products evolve and self-iterate in real-time. By automatically analyzing user experiences as they happen, Sprig AI will synthesize data and identify product improvements instantly, ensuring nearly flawless user experiences and driving the next wave of innovation in product management.As part of a new AI agent ecosystem, Sprig will collaborate with generative design and coding platforms to create a future where product teams will guide AI platforms in continuously adapting and improving products.If you’re passionate about redefining how products are built and want to be part of a team that’s leading the future of autonomous product development, we’d love to have you join us. Learn more about our mission, values, and how you can be part of this exciting journey here.About The RoleSprig is on a path to build world-class product experience platform that empowers the best businesses to truly understand how their users experience their product at-scale. The goal of the Core team at Sprig is to build and deploy high performant and minimal footprint SDKs and develop the dashboard experience to manage these studies.Our full-stack engineers are responsible for the end-to-end stack (SDK, React dashboard and backend endpoints) and own this stack from inception to deployment. Your work will impact millions of users throughout the world.This role is based in San Francisco with three days working in office.Your ImpactYou'll be working as part of our highly experienced engineering team and jump in at the beginning to develop a world-class productActively develop and deploy of our public available SDKs used by millions of usersDevelop and optimize backend code where performance, scalability and maintainability is keyDesign and build our React dashboard and endpoints to ensure high quality and quick page loadsContribute to product roadmap discussions as we grow and evolve the productStay informed with industry best practices and provide guidance, inspiration, and mentorship in engineering excellence for cross-functional colleaguesYour StrengthsProven experience deploying React production apps that are customer facing and critical to the businessPassion for learning, building, and moving fast. With an ambitious plan for the next 12 months, we highly value your ability and appetite for learningStrong written and verbal communication skills to document and explain the technical work that has been doneExperience with some of the technologies we use is desirable. Sprig's infrastructure runs on AWS and is built with React, Node.js, ClickHouse, and PostgresBenefits & PerksCompetitive SalaryCompetitive Employee Equity401K ProgramMedical, Dental, and Vision BenefitsFSA/HSA Benefit$175/month Commuter BenefitAdditional Wellbeing BenefitsFlexible Paid Time OffPaid Parental LeaveProfessional Development StipendHybrid Office PolicyLunch available 5x a week in SFDinner available 4x a week in SFCompany Sponsored Social EventsAt Sprig, we pride ourselves on being a people-first company, where your contributions truly matter and are valued. We were recently awarded by Fortune as top 50 best places to work in the US, and top 50 Places to Work in the Bay Area by Built In. Come join our mission of building products users love and have a real impact on Sprig’s future.Our Commitment to Diversity and InclusionWe prioritize diversity within our team and value different perspectives, educational backgrounds, and life experiences. We encourage people from underrepresented backgrounds to apply.Employee Pay DisclosureThe salary range for this full-time position is $160,000 - $180,000 + Equity + Benefits. Our cash compensation ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for San Francisco, CA. Within the range, individual pay is determined by additional factors, including job-related skills, experience, and relevant education or training. Please note that the compensation details listed in postings reflect the base salary only, and do not include equity or benefits.***Please beware of scammers who are posing as Sprig and Sprig team members. Our recruiters use @sprig.com email addresses exclusively. We do not conduct interviews via text or instant message, and we do not ask candidates to purchase equipment through us or solicit money from you. If you have been contacted by someone claiming to be from a different domain about a job offer, please report it as potential job fraud to law enforcement and contact us here.***",Salary not specified,https://www.linkedin.com/jobs/view/fullstack-engineer-at-sprig-4211191410?position=7&pageNum=0&refId=mfgIonZD4fgjeK6SbTzAaA%3D%3D&trackingId=QESWh4%2Fd%2FwBSZ3DzryScUg%3D%3D,2025-04-18
Junior Software Engineer,Takamol Holding,"Riyadh, Saudi Arabia","We are looking for a motivated and detail-oriented Junior Software Engineer to join our team.The ideal candidate is passionate about software development, eager to learn, and ready to support the team in delivering high-quality software solutions. This is a great opportunity to gain hands-on experience and grow within a collaborative and supportive environment.Responsibilities:Assist in analyzing business and technical requirements under the guidance of senior team members to understand software needs and possible technical solutions.Support in the design and development of basic software components and modules, ensuring alignment with provided specifications and best practices.Participate in the software development lifecycle by contributing to code development, documentation, and simple system configurations.Assist in testing and debugging software applications by identifying bugs and suggesting possible fixes with the support of senior engineers.Collaborate with cross-functional teams to provide basic technical support and help resolve routine software issues.Stay informed about basic software engineering practices and new technologies through continuous learning and self-development.Perform other tasks as assigned by the direct manager to support the software development team.Qualifications:University degree in Computer Science or a related field.0 to 2 years of experience in software development or a related area.Skills:Good problem-solving abilities.Effective communication in both Arabic and English.Basic knowledge of software development principles.Ability to work within a team.Time management and organization skills.",Salary not specified,https://sa.linkedin.com/jobs/view/junior-software-engineer-at-takamol-holding-4240781587?position=1&pageNum=0&refId=WuFMsBcj5qKWaPr0nUg2Fg%3D%3D&trackingId=Oi6VsotCc4rsUbHKKlDC7Q%3D%3D,No date
Software Engineer,Microsoft,"Bengaluru, Karnataka, India","Azure Cloud has one of the highest number of data centers amongst all the cloud providers. Azure Storage, which is a massively scalable, highly distributed, ubiquitously accessible storage system, is designed to scale out and serve the entire world with hundreds of thousands of devices in our data centers across the world. This role provides a unique opportunity to work on both software and hardware optimizations that will help drive the scale of Azure Storage to the next level.We are looking for a Software Engineer who is passionate about building and optimizing a world class distributed file system. If you love large scale distributed systems, love to work on new projects where you can define the work, scope, direction, and architect new solutions to make an impact on a massive product like Azure storage, this could be position for you! You will have an opportunity to make high impact changes daily as you build a hyperscale storage system that may indirectly or directly be used daily by of your friends and family.You will be working on the cutting edge of distributed systems and high scale storage on some of the largest storage systems on the planet, solving the interesting challenges that come with high scale, rapid growth, and continued innovations. You would be joining a talented, highly collaborative team, with responsibility for engineering the lowest most fundamental layers of the Azure storage service. The role brings exposure to cutting edge storage, memory, networking, and distributed system technologies, with broad opportunity to influence both the business and the industry. The team is responsible for the meta-data data service as well as storing the data across storage servers while ensuring high availability, reliability, durability, and cost efficiencies.Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.ResponsibilitiesCreates and implements code for a product, service, or feature, reusing code as applicable.Contributes to efforts to break down larger work items into smaller work items and provides estimation.Acts as a Designated Responsible Individual (DRI) working on-call to monitor system/product feature/service for degradation, downtime, or interruptions and gains approval to restore system/product/service for simple problems.Remains current in skills by investing time and effort into staying abreast of current developments that will improve the availability, reliability, efficiency, observability, and performance of products while also driving consistency in monitoring and operations at scale.Embody our culture and valuesQualificationsRequired Qualifications:Bachelor's Degree in Computer Science, or related technical discipline with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or PythonOR equivalent experience.Other RequirementsAbility to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire/transfer and every two years thereafter.Preferred QualificationsBachelor's Degree in Computer Science or related technical field AND 1+ year(s) technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or PythonOR Master's Degree in Computer Science or related technical field with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or PythonOR equivalent experience.#AzurecorejobsMicrosoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",Salary not specified,https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-4242568365?position=2&pageNum=0&refId=WuFMsBcj5qKWaPr0nUg2Fg%3D%3D&trackingId=8sFL184LhG8jeVjxHIqlbA%3D%3D,2025-06-02
